Type,Description,Incident #,Location,Agency,Date,,
,LARCENY/SHOPLIFTING,3122040532,100 BLOCK MAIN ST,Newark Police,11/28/22 20:18,,"Obtained from: https://www.crimemapping.com/map/location/19716,%20Newark,%20DE,%20USA?id=dHA9MCNsb2M9NjgzNDc4MSNsbmc9NTQjcGw9MTIyNTQyMSNsYnM9MTQ6MTI4OTkyNw==#"
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122040519,200 BLOCK MAIN ST,Newark Police,11/28/22 17:09,,two mile radius from zipcode of 19716
,BURGLARY/NO FORCED ENTRY/RESIDENCE,3122040493,300 BLOCK PAPER MILL RD,Newark Police,11/28/22 14:41,,during times of 8/31/22-11/29/22
,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED,3122040490,700 BLOCK N LIBRARY AVE,Newark Police,11/28/22 14:17,,
,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED,3122040368,300 BLOCK SUBURBAN DR,Newark Police,11/27/22 18:06,,
,DISORDERLY CONDUCT/UNRELATED TO LIQUOR,3122040349,100 BLOCK MAIN ST,Newark Police,11/27/22 13:38,,
,DRIVING UNDER THE INFLUENCE/LIQUOR/DRUGS,3122040295,ON WESTBOUND S. MAIN STREET SR273 27.76 FEET SOUTH WEST FRO,Newark Police,11/27/22 2:31,,
,LARCENY/FROM BUILDING,3122040299,000 BLOCK E MAIN ST,Newark Police,11/27/22 1:31,,
,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED,3122040214,000 BLOCK THORN LA,Newark Police,11/26/22 13:03,,
,LARCENY/SHOPLIFTING,3122040165,600 BLOCK W OGLETOWN RD,Newark Police,11/26/22 0:49,,
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122040125,300 BLOCK PAPER MILL RD,Newark Police,11/25/22 17:53,,
,FRAUD BY WIRE,3122040107,000 BLOCK E SUNSET RD,Newark Police,11/25/22 16:16,,
,"ROBBERY/CARJACKING/GUN COMMERCIAL HOUSE(EXCEPT C,D,F)",3122039974,100 BLOCK GROVE LA,Newark Police,11/24/22 12:32,,
,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER,3122039830,ORCHARD RD,Newark Police,11/23/22 1:02,,
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122039759,000 BLOCK W E. CLEVELAND,Newark Police,11/22/22 10:28,,
,DRIVING UNDER THE INFLUENCE/LIQUOR,,ON WESTBOUND CHESTNUT HILL ROAD SR4 61.65 FEET SOUTH WEST F,Delaware State Police,11/22/22 2:45,,
,LARCENY/SHOPLIFTING,3122039713,200 BLOCK S. MAIN ST,Newark Police,11/22/22 1:57,,
,LARCENY/BICYCLES,3122039694,3300 BLOCK WOOLEN WAY,Newark Police,11/21/22 22:37,,
,AGGRAVATED ASSAULT/FAMILY OTHER DANGEROUS WEAPON,3122039693,800 BLOCK S COLLEGE AVE,Newark Police,11/21/22 21:12,,
,LARCENY/SHOPLIFTING,3122039602,200 BLOCK SW S. MAIN ST,Newark Police,11/21/22 0:31,,
,LARCENY/FROM VEHICLE/NOT ATTACHED,3122039580,300 BLOCK E CANNONS WAY,Newark Police,11/20/22 18:58,,
,LARCENY/SHOPLIFTING,3122039563,400 BLOCK NEW LONDON RD,Newark Police,11/20/22 15:03,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122039528,000 BLOCK NE BRIAR LA,Newark Police,11/20/22 10:08,,
,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED,3122039516,600 BLOCK N COLLEGE AVE,Newark Police,11/20/22 9:38,,
,DISORDERLY CONDUCT/LIQUOR INVOLVEMENT,3122039503,1200 BLOCK WOOLEN WAY,Newark Police,11/20/22 3:09,,
,DAMAGE/PRIVATE PROPERTY,3122039425,100 BLOCK GROVE LA,Newark Police,11/19/22 15:38,,
,LARCENY/CITY/STATE/TOWN/PROPERTY FROM ALL OTHER YARDS,3922012780,200 BLOCK HAINES ST,University of Delaware Police,11/19/22 10:11,,
,DRIVING UNDER THE INFLUENCE/LIQUOR,3122039371,ON W. PARK PLACE 75.83 FEET EAST FROM INDIAN ROAD WITHIN,Newark Police,11/19/22 2:24,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122039365,000 BLOCK NW THORN LA,Newark Police,11/19/22 0:24,,
,DAMAGE/PUBLIC PROPERTY,3922012746,400 BLOCK ACADEMY ST,University of Delaware Police,11/18/22 22:29,,
,LARCENY/FROM ALL OTHER YARDS,3922012744,400 BLOCK W ACADEMY ST,University of Delaware Police,11/18/22 21:37,,
,LARCENY/FROM ALL OTHER YARDS,3922012740,200 BLOCK S HAINES ST,University of Delaware Police,11/18/22 20:38,,
,DISTURBING THE PEACE/PUBLIC NUISANCE,3122039259,000 BLOCK THORN LN,Newark Police,11/18/22 1:40,,
,CONSUMPTION OF LIQUOR/UNDERAGE,3922012689,200 BLOCK DAVID HOLLOWELL DR,University of Delaware Police,11/18/22 0:55,,
,DISORDERLY CONDUCT/UNRELATED TO LIQUOR,3122039231,100 BLOCK MAIN ST,Newark Police,11/17/22 21:15,,
,CONSUMPTION OF LIQUOR/UNDERAGE,3922012681,800 BLOCK SCHOLAR DR,University of Delaware Police,11/17/22 18:50,,
,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED,,100 BLOCK PENCADER PLZ,Delaware State Police,11/17/22 16:24,,
,LARCENY/FROM ALL OTHER YARDS,3122039208,800 BLOCK DISTRICT DR,Newark Police,11/17/22 16:00,,
,FRAUD BY WIRE,3122039201,100 BLOCK NE S. MAIN ST,Newark Police,11/17/22 14:16,,
,LARCENY/FROM BUILDING,3122039184,1000 BLOCK SUBURBAN DR,Newark Police,11/17/22 11:50,,
,BURGLARY/NO FORCED ENTRY/RESIDENCE,3922012644,300 BLOCK HAINES ST,University of Delaware Police,11/17/22 5:07,,
,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED,3122039039,200 BLOCK CLEVELAND AVE,Newark Police,11/16/22 14:08,,
,DAMAGE/BUSINESS PROPERTY,3922012598,100 BLOCK THE GREEN,University of Delaware Police,11/16/22 9:23,,
,DAMAGE/BUSINESS PROPERTY,3922012597,100 BLOCK THE GREEN,University of Delaware Police,11/16/22 9:10,,
,DAMAGE/PUBLIC PROPERTY,3922012594,100 BLOCK THE GREEN,University of Delaware Police,11/16/22 8:09,,
